user_id,tweet_id,timestamp,reactionType
54,668,2025-05-03T00:45:56.694934500,RETWEET
373,806,2025-04-21T00:45:56.695937,RETWEET
278,132,2025-04-26T00:45:56.695937,RETWEET
656,634,2025-05-12T00:45:56.695937,RETWEET
479,114,2025-05-14T00:45:56.695937,LIKE
695,978,2025-05-03T00:45:56.695937,RETWEET
10,34,2025-05-16T00:45:56.695937,LIKE
578,170,2025-05-10T00:45:56.695937,REPLY
814,129,2025-05-15T00:45:56.695937,RETWEET
734,661,2025-04-26T00:45:56.695937,REPLY
840,618,2025-04-18T00:45:56.695937,RETWEET
542,752,2025-05-12T00:45:56.695937,LIKE
854,989,2025-05-10T00:45:56.695937,RETWEET
630,419,2025-04-26T00:45:56.695937,RETWEET
429,205,2025-05-10T00:45:56.695937,REPLY
637,720,2025-04-18T00:45:56.695937,LIKE
156,829,2025-04-26T00:45:56.695937,RETWEET
367,74,2025-05-07T00:45:56.695937,RETWEET
564,456,2025-04-29T00:45:56.695937,LIKE
841,643,2025-04-23T00:45:56.695937,LIKE
435,64,2025-05-14T00:45:56.695937,RETWEET
228,931,2025-04-24T00:45:56.695937,LIKE
299,777,2025-04-29T00:45:56.695937,LIKE
328,243,2025-05-11T00:45:56.695937,RETWEET
330,93,2025-04-21T00:45:56.695937,RETWEET
542,426,2025-04-19T00:45:56.695937,RETWEET
625,719,2025-05-05T00:45:56.695937,REPLY
52,549,2025-05-07T00:45:56.695937,REPLY
277,484,2025-04-19T00:45:56.695937,REPLY
578,130,2025-04-21T00:45:56.695937,REPLY
657,946,2025-04-17T00:45:56.696935700,REPLY
819,653,2025-04-20T00:45:56.696935700,RETWEET
91,958,2025-05-10T00:45:56.696935700,LIKE
138,789,2025-05-02T00:45:56.696935700,LIKE
193,477,2025-04-21T00:45:56.696935700,LIKE
52,857,2025-05-08T00:45:56.696935700,LIKE
516,330,2025-05-14T00:45:56.696935700,REPLY
35,442,2025-04-19T00:45:56.696935700,LIKE
