user_id,following_id
691,611
16,401
143,245
43,875
852,765
330,6
239,610
535,908
540,839
769,953
668,237
387,673
759,323
704,946
361,46
123,378
182,622
881,438
271,425
178,324
214,438
833,788
984,746
418,764
659,104
253,811
171,679
621,236
698,657
368,363
229,220
499,473
663,998
94,378
11,114
85,128
452,597
513,498
884,151
131,718
779,3
582,649
673,502
495,964
29,52
921,511
269,664
794,454
186,837
276,698
355,911
535,960
834,146
879,7
667,460
282,834
950,505
605,837
335,198
420,34
685,661
490,957
420,965
11,185
56,469
797,293
643,536
927,895
327,232
631,497
795,79
97,610
440,460
245,87
530,63
397,682
101,922
979,661
572,703
307,241
155,775
637,666
685,935
4,88
6,150
480,800
897,769
195,394
210,756
824,660
903,779
439,523
872,618
4,294
592,627
55,597
891,513
411,78
119,490
621,681
664,174
323,373
794,238
309,822
56,105
12,917
103,552
524,781
723,225
337,85
602,720
772,981
52,741
466,753
381,428
618,747
490,442
14,473
729,468
529,374
163,48
282,846
227,14
382,981
264,305
878,115
277,681
503,986
129,254
76,780
413,337
444,877
948,212
997,292
576,611
34,313
240,446
381,774
95,159
710,472
283,927
154,657
17,435
62,225
838,252
494,149
755,464
144,284
64,307
385,248
198,943
571,874
243,143
166,860
613,739
585,449
401,810
886,903
933,58
138,96
977,967
869,999
537,723
196,589
825,299
903,567
879,911
846,980
927,599
509,87
392,296
909,551
236,372
817,884
582,791
489,147
496,227
776,85
930,92
330,917
186,177
686,496
322,609
338,886
180,813
829,254
226,821
291,551
778,888
327,95
839,951
585,193
165,892
471,887
29,116
361,691
294,387
445,779
95,874
822,367
569,68
692,382
764,673
910,58
655,250
743,173
521,763
393,602
891,862
625,929
352,313
31,435
208,803
489,58
29,322
14,703
974,97
737,178
463,431
577,86
338,74
993,797
9,33
411,935
126,239
878,341
544,958
402,539
793,688
263,691
50,884
488,741
290,514
37,367
163,354
539,750
788,436
256,952
392,957
88,87
542,249
522,453
852,885
66,710
598,138
557,525
108,73
887,790
740,266
862,858
165,861
866,635
191,893
297,25
72,24
218,348
251,421
51,366
887,909
928,182
466,417
462,591
467,415
426,244
978,974
104,686
943,166
302,553
168,58
575,135
139,55
722,11
694,670
386,263
229,200
370,438
918,629
155,325
828,505
841,775
430,866
875,208
479,178
724,60
592,316
100,578
774,188
74,570
854,661
958,824
480,605
214,681
529,62
669,416
492,526
811,586
326,384
276,763
997,602
60,39
650,770
326,227
927,635
183,19
671,185
993,190
112,92
804,664
29,918
50,592
905,515
104,320
502,20
956,947
610,711
710,467
576,304
866,825
987,330
877,49
283,749
374,94
92,257
968,926
57,298
94,490
804,279
402,841
22,853
299,935
112,31
999,749
619,484
124,282
470,123
583,517
113,539
185,420
113,617
430,749
610,789
585,574
352,404
793,669
30,474
495,213
389,379
852,677
767,668
862,793
920,724
388,86
924,304
801,770
179,703
980,222
714,3
616,856
619,170
821,83
532,581
496,579
164,757
274,23
784,377
264,742
386,506
849,897
920,968
175,982
53,744
351,676
197,951
769,718
529,329
868,170
788,887
229,257
471,862
865,231
335,416
359,36
716,779
7,957
267,82
593,7
520,663
414,670
468,93
536,356
278,703
271,486
356,77
6,639
987,280
719,419
617,271
873,859
775,501
415,195
996,470
617,354
671,203
78,289
857,191
629,179
405,830
654,619
795,177
352,361
390,967
427,630
943,739
835,73
161,513
752,821
639,938
402,57
454,967
528,572
475,459
704,484
262,372
952,261
837,215
674,386
893,811
546,821
289,832
448,531
631,548
724,984
789,839
875,799
560,416
539,887
726,302
170,612
985,538
669,977
650,873
634,24
818,200
162,799
295,140
306,123
294,255
18,78
515,191
967,931
810,812
495,534
260,640
960,562
980,248
660,231
57,511
364,417
975,373
659,504
26,506
43,579
436,659
770,230
134,838
493,468
527,155
674,215
280,818
374,605
849,741
205,594
786,661
97,806
19,96
116,563
413,246
541,414
231,883
68,35
778,672
477,213
614,842
227,526
537,42
801,614
955,572
315,402
717,842
311,196
931,454
299,766
886,655
286,118
229,317
409,20
693,403
730,950
29,641
234,423
784,968
817,622
404,609
514,991
6,385
339,986
115,637
999,290
110,493
66,669
892,602
445,839
919,699
689,809
863,248
429,22
734,972
386,802
858,568
575,946
761,505
433,509
799,555
869,149
96,237
644,667
355,515
645,191
771,889
853,526
106,317
568,779
19,554
252,824
488,281
433,433
415,490
174,778
506,158
941,55
996,104
353,673
294,18
599,81
479,253
198,464
52,370
634,709
734,410
223,97
741,653
848,651
260,417
582,418
565,440
809,854
255,70
237,792
332,152
627,126
377,308
705,654
993,824
508,718
280,539
130,974
466,94
734,160
589,704
396,446
689,990
692,431
416,598
684,537
294,633
645,600
222,729
241,468
935,223
838,288
940,87
776,707
562,885
561,350
461,926
214,837
568,683
961,292
642,109
708,537
6,674
900,104
977,231
723,140
296,690
206,512
583,18
485,158
503,419
822,632
786,218
670,344
149,587
204,942
759,296
140,402
623,509
380,629
961,589
6,231
850,513
459,617
401,436
261,677
929,911
641,441
265,181
107,644
433,408
525,37
840,724
50,674
431,38
421,431
314,509
367,51
595,933
635,381
122,316
711,549
151,32
96,949
296,972
259,142
50,975
158,240
781,102
583,370
517,252
390,133
189,677
955,865
369,156
213,734
182,727
870,623
895,373
98,169
579,303
967,716
135,66
733,20
387,79
839,522
826,829
311,619
62,400
499,79
54,163
828,163
349,448
484,826
510,945
313,185
244,280
833,492
410,493
86,373
372,57
80,932
531,929
691,841
153,337
107,573
651,315
40,803
366,591
775,224
640,831
875,28
749,640
615,882
620,585
526,778
519,152
282,265
785,396
697,506
627,129
384,384
24,436
301,727
44,465
827,357
191,466
970,778
151,186
813,798
438,293
102,869
54,41
376,421
364,326
869,772
44,682
805,310
946,556
260,231
752,423
261,258
477,329
527,751
952,793
930,393
981,473
38,343
262,460
758,923
102,150
96,609
964,849
626,76
27,144
416,164
588,107
62,910
323,978
122,139
983,783
325,241
802,889
679,142
55,741
631,204
218,172
947,782
272,68
206,657
238,848
103,784
875,50
427,917
290,484
509,121
906,254
208,651
666,926
364,936
703,464
451,724
602,400
289,65
514,503
468,736
624,544
496,555
453,814
623,600
814,659
523,379
589,838
926,552
45,337
130,657
49,616
12,35
426,677
492,197
658,108
323,495
852,804
581,920
321,614
438,239
601,322
347,805
433,547
666,490
647,910
133,933
36,28
525,966
404,594
108,969
769,86
12,36
717,293
792,598
402,965
196,466
366,699
243,130
247,913
356,443
958,598
139,785
627,562
708,642
155,198
230,752
575,578
588,757
217,254
919,564
183,831
478,71
401,979
87,695
853,706
662,801
80,340
881,593
226,866
622,292
190,142
528,56
275,590
92,940
12,686
898,903
441,37
771,864
545,461
96,680
197,940
416,179
842,479
407,524
2,758
179,816
859,737
154,740
242,616
669,933
214,219
507,214
693,638
762,250
187,880
791,294
926,627
376,956
360,428
292,382
183,628
264,142
505,378
986,275
498,202
556,906
937,199
790,718
585,431
340,542
599,981
146,402
513,481
483,839
478,89
211,545
898,790
335,748
575,919
440,461
223,961
160,612
905,425
354,437
128,709
258,505
150,115
881,376
405,214
98,911
231,61
312,84
863,601
149,917
750,839
897,167
495,632
202,324
160,305
319,427
267,87
569,584
283,96
149,741
537,120
72,224
141,933
355,776
146,187
24,217
27,262
108,947
914,986
353,970
733,899
757,310
644,269
731,874
273,77
781,737
680,876
990,461
603,402
987,758
331,190
617,265
896,82
712,135
251,389
837,397
907,256
564,330
576,67
31,18
938,827
506,712
714,989
603,483
197,643
377,159
785,791
688,835
421,248
436,735
625,530
533,255
918,557
572,993
941,29
971,984
895,80
44,737
895,48
107,622
993,736
741,514
706,601
534,654
954,630
616,247
79,587
917,41
234,852
844,7
363,243
577,991
932,124
748,491
701,819
766,878
907,714
638,817
747,450
170,697
283,672
173,484
986,993
881,816
358,136
428,110
74,99
603,741
570,243
562,931
443,776
586,362
22,478
682,156
698,1000
141,543
205,294
971,328
7,76
24,915
98,144
291,465
269,735
662,841
153,627
18,706
893,901
523,593
997,910
853,372
