user_id,tweet_id,timestamp,reactionType
664,303,2025-06-23T20:24:55.399100700,RETWEET
513,714,2025-06-14T20:24:55.400103400,RETWEET
470,936,2025-07-09T20:24:55.400103400,RETWEET
258,203,2025-06-16T20:24:55.401102800,RETWEET
674,798,2025-07-02T20:24:55.401102800,LIKE
332,368,2025-06-27T20:24:55.401102800,RETWEET
800,729,2025-06-17T20:24:55.401102800,LIKE
742,516,2025-06-18T20:24:55.401102800,REPLY
417,613,2025-06-19T20:24:55.401102800,RETWEET
238,815,2025-07-08T20:24:55.401102800,REPLY
253,746,2025-06-25T20:24:55.401102800,RETWEET
604,79,2025-06-28T20:24:55.402101700,LIKE
768,93,2025-06-22T20:24:55.402101700,RETWEET
302,125,2025-06-26T20:24:55.402101700,RETWEET
41,721,2025-06-30T20:24:55.402101700,REPLY
367,885,2025-07-04T20:24:55.402101700,LIKE
26,636,2025-07-09T20:24:55.402101700,RETWEET
383,132,2025-06-23T20:24:55.402101700,RETWEET
330,927,2025-07-03T20:24:55.402101700,LIKE
458,118,2025-06-23T20:24:55.403102800,LIKE
195,228,2025-07-10T20:24:55.403102800,RETWEET
120,529,2025-06-15T20:24:55.403102800,LIKE
258,463,2025-06-13T20:24:55.403102800,LIKE
474,706,2025-06-15T20:24:55.403102800,RETWEET
817,535,2025-06-24T20:24:55.403102800,RETWEET
586,724,2025-06-26T20:24:55.403102800,RETWEET
625,450,2025-06-12T20:24:55.404103,REPLY
665,417,2025-07-01T20:24:55.404103,REPLY
75,86,2025-06-19T20:24:55.406104800,REPLY
270,602,2025-07-09T20:24:55.406104800,REPLY
429,239,2025-06-16T20:24:55.407104100,REPLY
271,850,2025-07-06T20:24:55.407104100,RETWEET
269,408,2025-06-20T20:24:55.407104100,LIKE
869,21,2025-07-03T20:24:55.407104100,LIKE
945,483,2025-07-08T20:24:55.407104100,LIKE
466,106,2025-06-16T20:24:55.407104100,LIKE
740,970,2025-06-23T20:24:55.407104100,REPLY
764,561,2025-06-23T20:24:55.409102800,LIKE
421,797,2025-06-23T20:24:55.410103300,RETWEET
197,750,2025-06-26T20:24:55.410103300,REPLY
124,196,2025-06-27T20:24:55.410103300,REPLY
898,656,2025-06-18T20:24:55.410103300,RETWEET
379,788,2025-06-26T20:24:55.410103300,LIKE
732,485,2025-06-30T20:24:55.410103300,REPLY
494,90,2025-06-28T20:24:55.410103300,RETWEET
533,91,2025-07-07T20:24:55.411103900,REPLY
885,463,2025-06-16T20:24:55.411103900,REPLY
874,945,2025-07-06T20:24:55.411103900,LIKE
518,815,2025-06-18T20:24:55.411103900,REPLY
205,184,2025-06-12T20:24:55.411103900,REPLY
