user_id,follower_id
265,318
895,76
236,650
849,555
530,407
270,683
406,544
368,631
737,396
649,10
137,739
116,855
675,325
915,666
63,21
214,927
419,126
784,337
136,199
713,563
399,448
771,558
26,383
441,817
634,964
373,98
787,942
316,190
906,807
58,600
60,4
798,474
831,800
883,121
287,815
563,912
581,749
980,601
654,758
355,169
359,172
344,160
969,653
935,76
845,242
27,823
649,476
380,797
974,381
676,486
34,56
739,609
262,315
740,391
604,921
929,602
408,380
411,806
126,250
483,8
751,410
397,141
294,34
712,67
167,904
981,446
299,733
460,877
819,903
714,230
537,361
513,610
223,55
807,133
805,146
869,204
318,468
708,678
703,254
340,590
558,487
711,560
433,94
171,260
144,302
166,214
851,667
980,190
773,919
866,336
989,246
139,964
822,594
593,215
822,717
464,226
533,658
456,624
100,299
770,597
56,68
388,137
327,992
403,317
450,975
787,668
457,236
269,961
233,79
714,499
219,956
29,434
502,346
242,866
52,312
686,827
805,574
348,994
747,474
861,609
519,898
258,222
96,651
419,492
86,801
614,769
243,63
226,697
903,197
709,802
25,751
655,87
226,918
864,364
354,156
693,423
806,37
8,913
759,685
832,910
399,809
584,924
535,360
814,523
460,43
902,612
257,369
742,266
648,497
361,425
714,801
78,255
183,450
79,994
434,991
576,838
669,587
831,538
988,61
664,238
501,896
423,662
887,685
415,264
582,546
340,75
181,695
660,779
182,461
167,534
569,347
619,808
208,802
848,167
392,470
519,142
713,516
387,758
533,766
295,461
511,352
759,898
904,33
252,493
56,326
855,972
463,800
400,165
638,48
66,715
233,816
376,568
620,878
278,614
598,625
298,870
281,262
564,671
838,471
725,317
688,663
982,946
214,564
437,42
916,140
785,22
942,292
928,561
409,448
343,921
852,346
552,290
406,965
677,401
153,60
858,958
593,153
405,86
18,318
512,895
883,693
791,41
458,547
87,571
939,548
127,443
194,119
562,850
168,186
338,300
220,463
195,736
90,672
333,915
274,52
611,259
979,144
838,1000
831,603
967,57
913,265
964,953
39,45
682,506
31,627
59,886
145,921
193,975
471,934
